#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
875.9539	0.8431	0.9175	0.9789
876.9538	0.8433	0.9175	0.9792
877.9537	0.8436	0.918	0.9792
878.9537	0.8438	0.918	0.9788
879.9536	0.844	0.9182	0.9788
880.9535	0.8439	0.9181	0.9787
881.9534	0.8446	0.9181	0.9792
882.9534	0.8452	0.9189	0.9797
883.9533	0.846	0.9199	0.98
884.9532	0.8465	0.9204	0.9802
885.9532	0.8468	0.9204	0.98
886.9531	0.8467	0.9201	0.9794
887.9531	0.847	0.9202	0.9796
888.9529	0.8472	0.9199	0.9795
889.9529	0.8472	0.9197	0.9793
890.9528	0.8469	0.9195	0.9788
891.9528	0.8469	0.919	0.9781
892.9527	0.8466	0.9184	0.9776
893.9526	0.8463	0.9178	0.977
894.9526	0.847	0.9183	0.9775
895.9525	0.8478	0.9188	0.9779
