# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.193	7.7087526549199	14.198055281997	0.425822	0.025171	39.7282587104207
0.194	7.714438947011	14.149940855603	0.425168	0.0251035	39.8350827573844
0.195	7.7199236648857	14.102009597055	0.424515	0.0250363	39.9420042098872
0.196	7.7252090997357	14.054261451655	0.423863	0.0249694	40.0490200004806
0.197	7.730297522931	14.006696348413	0.423213	0.0249028	40.156127021861
0.198	7.7351911860817	13.959314200397	0.422563	0.0248364	40.2634842408723
0.199	7.7398923211028	13.912114905081	0.421915	0.0247704	40.3707651067403
0.2	7.7444031402813	13.86509834469	0.421269	0.0247046	40.4782914922727
0.201	7.748725836347	13.818264386538	0.420623	0.0246391	40.5858980238726
0.202	7.7528625825457	13.771612883357	0.419979	0.0245739	40.6935814014056
0.203	7.7568155327147	13.725143673628	0.419335	0.024509	40.8013382838957
0.204	7.7605868213612	13.678856581901	0.418694	0.0244443	40.9093326460565
0.205	7.7641785637431	13.632751419116	0.418053	0.02438	41.0172272354389
0.206	7.7675928559524	13.586827982912	0.417413	0.0243159	41.125354192113
0.207	7.7708317749997	13.54108605794	0.416775	0.0242521	41.2335426622849
0.208	7.7738973789027	13.495525416159	0.416138	0.0241885	41.3419600223247
0.209	7.7767917067748	13.450145817144	0.415502	0.0241253	41.450261758403
0.21	7.7795167789172	13.404947008371	0.414868	0.0240623	41.5587869821256
0.211	7.782074596912	13.359928725511	0.414235	0.0239995	41.6675347403071
0.212	7.7844671437176	13.315090692713	0.413602	0.0239371	41.7761550062455
0.213	7.7866963837654	13.270432622885	0.412971	0.0238749	41.884992188449
0.214	7.7887642630584	13.22595421797	0.412342	0.023813	41.9938688951413
0.215	7.7906727092714	13.181655169213	0.411713	0.0237514	42.1027813097333
0.216	7.7924236318524	13.137535157434	0.411086	0.02369	42.2119037568594
0.217	7.794018922126	13.093593853285	0.41046	0.0236289	42.3210559949892
0.218	7.7954604533972	13.049830917509	0.409835	0.023568	42.4304141208418
0.219	7.7967500810576	13.006246001197	0.409211	0.0235074	42.5397959791385
0.22	7.7978896426917	12.962838746032	0.408588	0.0234471	42.649197555348
0.221	7.7988809581853	12.91960878454	0.407967	0.023387	42.7587976226108
0.222	7.7997258298341	12.876555740326	0.407347	0.0233272	42.8684111252101
0.223	7.8004260424543	12.833679228313	0.406728	0.0232677	42.97803392686
0.224	7.8009833634931	12.790978854977	0.40611	0.0232084	43.0878475034901
0.225	7.8013995431407	12.748454218573	0.405493	0.0231493	43.1978504749604
0.226	7.8016763144433	12.706104909362	0.404878	0.0230906	43.3076663230925
0.227	7.8018153934159	12.66393050983	0.404264	0.023032	43.4178534213268
0.228	7.8018184791576	12.621930594909	0.40365	0.0229738	43.5278447622944
0.229	7.8016872539652	12.580104732186	0.403038	0.0229157	43.6382043751664
0.23	7.8014233834496	12.538452482117	0.402428	0.022858	43.7483594365211
0.231	7.8010285166516	12.496973398228	0.401818	0.0228004	43.8588796687777
0.232	7.8005042861582	12.455667027325	0.40121	0.0227432	43.969186394175
0.233	7.7998523082199	12.414532909684	0.400602	0.0226861	44.0798550654365
0.234	7.799074182868	12.373570579254	0.399996	0.0226293	44.190496391846
0.235	7.7981714940325	12.332779563842	0.399391	0.0225728	44.3011057555997
0.236	7.7971458096602	12.292159385308	0.398787	0.0225165	44.4118757355717
0.237	7.7959986818333	12.251709559743	0.398184	0.0224605	44.5226063533759
0.238	7.7947316468875	12.211429597657	0.397583	0.0224047	44.6334920797868
0.239	7.7933462255317	12.171319004151	0.396982	0.0223491	44.7445310996863
0.24	7.7918439229665	12.131377279098	0.396383	0.0222938	44.8555203688918
0.241	7.7902262290036	12.091603917308	0.395785	0.0222387	44.9666572236686
0.242	7.788494618185	12.051998408703	0.395188	0.0221838	45.0779397578413
0.243	7.7866505499024	12.012560238477	0.394592	0.0221292	45.1891618314263
0.244	7.7846954685166	11.973288887262	0.393997	0.0220748	45.3005236740537
0.245	7.7826308034767	11.934183831284	0.393403	0.0220207	45.4118170630361
0.246	7.7804579694396	11.895244542522	0.392811	0.0219668	45.5232441684724
0.247	7.7781783663892	11.856470488857	0.39222	0.0219131	45.6348029261036
0.248	7.7757933797556	11.817861134229	0.391629	0.0218596	45.7464912441216
0.249	7.7733043805341	11.779415938776	0.39104	0.0218064	45.8580967055543
0.25	7.7707127254039	11.741134358985	0.390452	0.0217534	45.9698254066031
0.251	7.7680197568472	11.70301584783	0.389865	0.0217007	46.0814628099554
0.252	7.7652268032672	11.665059854915	0.389279	0.0216481	46.1934303703327
0.253	7.7623351791067	11.627265826604	0.388694	0.0215958	46.30530010465
0.254	7.7593461849661	11.589633206159	0.388111	0.0215437	46.4172820824649
